,custId,sex,isElderly,partner,dependents,membershipDuration,agreementTerm,acquisitionChannel,phoneService,multipleLines,internetService,monthlyDataUsageGb,cyberProtectionService,onlineBackup,deviceProtection,techSupport,streamingTv,streamingMovies,recurringFee,cumulativeSpend,transactionMethod,paperlessBilling,billingIssues,supportTickets,lastContactRating,serviceSatisfactionScore,mobileAppSatisfaction,networkStabilityScore,avgNetworkLatencyMs,dataLimitWarnings,loyaltyPoints,customerFeedback,competitorOffers,custExit
6601,mM92213,Female,No,Yes,Yes,40,Month-to-month,Online,Yes,Yes,Fiber optic,73.24,No,Yes,Yes,Yes,No,No,84.85,3303.05,Electronic check,Yes,No,No,2,3,4,3.9,65,Yes,1409,"I recently decided to switch internet providers after being with this company for 40 months on a month-to-month contract. While the fiber optic internet service was fast and reliable, I was consistently frustrated with the monthly charges of $84.85. Additionally, paying with an electronic check was not the most convenient payment method for me. Ultimately, I decided to cancel my service due to these factors. I would recommend this company to others who prioritize speed and reliability over cost and payment convenience.",No,Yes
2927,YD67654,Male,No,Yes,Yes,5,Month-to-month,Referral,Yes,Yes,DSL,75.42,Yes,Yes,No,Yes,No,No,64.4,316.9,Credit card (automatic),No,No,Yes,3,4,3,4.5,125,2,1202,"I have been a customer with this DSL internet service provider for the past 5 months and I am overall satisfied with the service. The monthly charges of $64.4 are reasonable for the quality of internet service I receive. I appreciate the convenience of automatic credit card payments and have had no issues with billing or payments. I have not experienced any disruptions in service or downtime, so overall I am happy with my decision to choose this provider for my internet needs. I would recommend this service to others looking for reliable and affordable DSL internet.",Yes,No
5597,t22436,Female,No,No,Yes,67,One year,Online,Yes,Yes,Fiber optic,41.84,No,Yes,No,Yes,Yes,Yes,106.6,7244.7,Bank transfer (automatic),Yes,No,2,3,4,5,5.2,19,2,568,"I have been a loyal customer of this internet service provider for over 5 years now and I am extremely satisfied with the fiber optic internet service they provide. The monthly charges of $106.6 are reasonable for the reliable and fast internet connection I receive. The automatic bank transfer payment method is convenient and hassle-free. Overall, I have had a positive experience with this company and have no plans to churn in the near future.",No,No
3496,n59716,Female,No,No,No,15,Month-to-month,Online,Yes,No,DSL,67.91,Yes,Yes,Yes,Yes,No,No,58.95,955.15,Electronic check,No,No,No,5,3,3,4.2,111,Yes,880,"I have been a customer with this company for 15 months now and I have had a great experience so far. The month-to-month contract is convenient for me and the monthly charges of $58.95 for DSL internet service are reasonable. I appreciate being able to pay with electronic check, as it is quick and easy. Overall, I have had no issues with the service and I am happy to continue with this provider.",Yes,No
3619,Ba19159,Female,No,Yes,Yes,58,One year,Online,Yes,Yes,No,55.58,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,24.5,1497.9,Credit card (automatic),Yes,Yes,2,Yes,4,2,Yes,10,3,387,"I have been a customer with this company for 58 months now and I have been very satisfied with the service. The automatic payment method makes it convenient for me to pay my monthly bill on time. Even though I do not have internet service with them, I have found the monthly charges of $24.5 to be very reasonable. Overall, I have had no complaints and have no intention of churning anytime soon.",No,No
3809,zM33309,Female,Yes,No,No,4,Month-to-month,Online,Yes,Yes,Fiber optic,28.14,Yes,Yes,No,No,No,No,80.25,303.7,Electronic check,Yes,2,No,4,4,5,3.9,132,Yes,478,"I have been a customer with this company for 4 months now and I am extremely satisfied with the fiber optic internet service they provide. The speed and reliability have been excellent, and I have experienced no issues with connectivity. The monthly charges of $80.25 are reasonable for the quality of service I am receiving. I appreciate the convenience of being able to pay with electronic check. Overall, I have had a positive experience with this company and have no plans to churn in the near future.",Yes,No
1387,Lj93079,Male,No,No,No,4,Month-to-month,Store,No,No phone service,DSL,46.31,No,Yes,No,Yes,No,No,30.5,118.4,Electronic check,No,Yes,Yes,3,5,4,1.4,36,2,1137,"I have been a customer with this DSL internet service provider for 4 months now and I am very satisfied with the service. The monthly charges are reasonable at $30.5 and I appreciate the convenience of paying with an electronic check. The internet connection has been reliable and I have experienced no issues with speed or downtime. Overall, I am happy with the service and have no plans to switch providers.",No,No
2228,H61420,Male,No,No,Yes,70,One year,Online,Yes,Yes,DSL,36.21,Yes,Yes,No,Yes,No,No,64.95,4551.5,Bank transfer (automatic),No,No,No,Yes,4,4,9.5,97,3,881,"I have been a loyal customer for 70 months now and have been satisfied with the DSL internet service provided by this company. The monthly charges of $64.95 are reasonable for the service I receive. I appreciate the convenience of automatic bank transfers for payment. Overall, I have had no issues with the service and do not plan on switching providers in the near future.",No,No
1042,N16630,Male,No,Yes,Yes,19,One year,Online,Yes,No,No,27.98,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.8,344.5,Mailed check,No,No,2,2,3,5,2.6,34,2,1678,"I have been a customer with this company for 19 months now and I am pleased to say that I have not experienced any issues that would lead me to consider churning. The $19.8 monthly charges for my one-year contract are reasonable and affordable. Although I do not have internet service with this company, I am satisfied with the payment method of mailing a check. Overall, I am a happy and satisfied customer.",No,No
5982,KG48916,Male,Yes,Yes,No,72,Two year,Online,Yes,Yes,Fiber optic,35.23,No,Yes,Yes,No,Yes,Yes,104.15,7689.95,Bank transfer (automatic),Yes,No,Yes,Yes,3,4,Yes,42,Yes,1629,"I have been a customer with this company for 6 years and I recently decided to switch providers. While the fiber optic internet service was reliable and fast, I found that the monthly charges of $104.15 were too high compared to other providers in the area. Additionally, the two year contract was restrictive and I wanted more flexibility in my plan. The automatic bank transfer payment method was convenient, but ultimately I decided to cancel my service due to the overall cost and contract terms. I would recommend this company for their reliable internet service, but suggest they offer more competitive pricing and contract options for long-term customers like myself.",Yes,Yes
6045,CK67409,Male,No,No,No,44,One year,Online,No,No phone service,DSL,34.67,Yes,Yes,Yes,No,Yes,Yes,54.0,2440.25,Electronic check,Yes,Yes,Yes,Yes,3,5,4.2,78,2,1548,"I have been a customer with this company for 44 months now and have been very satisfied with the service. The DSL internet service has been reliable and the monthly charges of $54.0 are reasonable. I appreciate the convenience of paying with electronic check. Overall, I have had a positive experience and have no plans to switch providers.",No,No
3301,Dx16567,Female,No,No,Yes,15,Month-to-month,Online,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,85.9,1269.55,Bank transfer (automatic),Yes,No,No,5,4,2,1.4,65,Yes,1030,"I recently decided to cancel my service with this company after being a customer for 15 months. While I appreciated the reliable fiber optic internet service, the monthly charges of $85.9 were becoming too expensive for me. The automatic bank transfer payment method was convenient, but ultimately I felt I could find a better deal elsewhere. I would recommend this company to others who are willing to pay a premium for high-quality internet service.",Yes,Yes
2574,fz39854,Female,Yes,No,No,9,Month-to-month,Online,Yes,Yes,Fiber optic,64.14,No,Yes,Yes,No,Yes,No,90.1,816.8,Electronic check,Yes,No,2,Yes,4,5,9.5,120,Yes,1275,"I have been a customer with this company for 9 months now and I have been very satisfied with the service. The fiber optic internet is fast and reliable, and the monthly charges of $90.1 are reasonable for the quality of service I receive. I appreciate the convenience of being able to pay with electronic check each month. Overall, I have had a great experience and have no plans to switch providers.",Yes,No
4395,tb39622,Male,No,No,No,Yes,Month-to-month,Store,Yes,No,DSL,26.07,No,Yes,No,No,No,No,46.2,46.2,Credit card (automatic),No,Yes,4,4,5,5,2.2,82,Yes,1062,"I recently signed up for DSL internet service with this company on a month-to-month contract. The monthly charges were reasonable at $46.2, and I set up automatic credit card payments for convenience. However, after just one month of service, I experienced multiple disruptions and slow speeds. As a result, I have decided to churn and switch to a different internet provider. I was disappointed with the quality of service and reliability of the connection during my brief tenure with this company.",No,Yes
2281,fF18444,Male,No,No,No,6,One year,Store,Yes,No,No,51.46,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.6,116.6,Mailed check,No,No,Yes,Yes,3,5,Yes,53,No,1302,"I have been a customer with this company for 6 months now, and I have had a positive experience so far. The monthly charges are affordable at $20.6 and I appreciate the option to pay via mailed check. Although I do not have internet service with this company, I have had no issues with my current services. I am satisfied with my contract type of one year and have no plans to churn in the near future. Overall, I would recommend this company to others looking for reliable and affordable services.",No,No
1966,Vq96877,Male,No,Yes,No,42,Month-to-month,Online,Yes,Yes,Fiber optic,63.43,No,Yes,Yes,Yes,No,Yes,99.45,4138.05,Electronic check,Yes,No,2,Yes,4,Yes,2.8,60,Yes,825,"I have been a customer with this company for 42 months on a month-to-month contract with a monthly charge of $99.45 for fiber optic internet service. I recently decided to churn because I found a better deal with another provider. While the service was reliable and the speeds were good, I ultimately made the decision based on cost. I did appreciate being able to pay with an electronic check, as it made the payment process convenient.",Yes,Yes
1813,Pt51381,Male,No,Yes,Yes,48,Two year,Online,Yes,Yes,Fiber optic,46.79,Yes,Yes,Yes,Yes,Yes,Yes,111.8,5443.65,Credit card (automatic),No,No,4,Yes,5,4,6.9,111,Yes,721,"I have been a customer with this company for 4 years now and I have been extremely satisfied with the service. The fiber optic internet service has been incredibly fast and reliable. I appreciate the convenience of automatic credit card payments and have had no issues with billing. The monthly charges are reasonable for the quality of service provided. Overall, I have no complaints and will continue to be a loyal customer.",No,No
5687,DS38945,Male,No,No,No,6,Month-to-month,Online,Yes,No,No,79.52,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,18.95,110.15,Mailed check,No,2,5,2,3,2,10,10,No,1483,"I have been a customer with this company for 6 months now and have been satisfied with the service. The month-to-month contract option and affordable monthly charges of $18.95 have been convenient for me. I do not have internet service with this provider, but that has not been an issue for me. I prefer to pay by mailed check and have had no issues with the payment process. Overall, I have had a positive experience as a customer and have no plans to churn in the near future.",No,No
5508,VN85656,Male,No,No,No,51,Month-to-month,Online,Yes,Yes,Fiber optic,52.5,No,Yes,Yes,No,No,No,80.0,4242.35,Credit card (automatic),No,Yes,Yes,3,3,3,4.9,58,Yes,887,"I have been a customer with this company for over four years and recently decided to switch providers due to better pricing options elsewhere. Although I appreciated the convenience of the automatic credit card payment option, the monthly charges of $80 for fiber optic internet were becoming too high for my budget. I would have been more likely to stay with this company if there were more competitive pricing options available for long-time customers like myself. Overall, the service was reliable and the fiber optic internet was fast and consistent.",No,Yes
5504,YX54684,Male,No,No,No,12,Month-to-month,Store,Yes,No,DSL,22.61,No,Yes,No,Yes,No,No,53.75,648.65,Mailed check,Yes,Yes,No,Yes,5,5,8.3,69,Yes,1148,"I have been a customer with this DSL internet provider for 12 months now on a month-to-month contract. I have never experienced any issues with the service and have no plans to switch to another provider. The monthly charges of $53.75 are reasonable for the reliable internet connection I receive. I appreciate being able to pay with a mailed check as it is convenient for me. Overall, I am satisfied with the service and would recommend it to others.",Yes,No
2068,D19418,Female,No,No,Yes,12,Month-to-month,Online,Yes,No,DSL,39.69,No,Yes,No,No,No,No,44.55,480.6,Electronic check,Yes,Yes,4,Yes,3,4,9.5,27,2,1036,"""I recently decided to cancel my DSL internet service after being a customer for 12 months on a month-to-month contract. The monthly charges of $44.55 were reasonable, but I ultimately decided to switch to a different provider for better speeds and reliability. The payment method of electronic check was convenient and I never had any issues with billing. Overall, my experience with this internet service was satisfactory, but I felt it was time for a change.""",No,Yes
6488,o49883,Female,No,No,No,3,Month-to-month,Store,No,No phone service,DSL,63.69,Yes,Yes,No,Yes,No,No,34.25,139.35,Mailed check,No,No,No,4,3,5,Yes,53,2,1197,"I recently switched to this DSL internet provider about 3 months ago on a month-to-month contract. The monthly charges are reasonable at $34.25. However, I regret to say that I have decided to churn and cancel my service with them. The main reason for my decision is the inconvenience of having to pay by mailing a check each month. I would have preferred more modern payment options such as online bill pay or automatic withdrawals. Overall, the internet service itself was satisfactory, but the outdated payment method was a deal breaker for me.",No,Yes
3414,U46673,Male,No,Yes,Yes,57,One year,Store,Yes,No,Fiber optic,74.27,No,Yes,Yes,No,Yes,Yes,97.55,5598,Credit card (automatic),Yes,No,Yes,2,5,5,7.3,10,No,1060,"I have been a customer with this fiber optic internet service provider for almost 5 years now and I have been extremely satisfied with the service. The speed and reliability of the internet connection have been excellent, and I have never experienced any issues with downtime. The automatic payment method makes it convenient for me to pay my monthly bill on time without any hassle. The monthly charges are reasonable for the quality of service I receive. Overall, I have no complaints and would highly recommend this provider to others.",No,No
6590,f73492,Female,No,Yes,No,64,Two year,Store,Yes,Yes,Fiber optic,51.71,Yes,Yes,Yes,No,Yes,No,94.6,5948.7,Credit card (automatic),Yes,2,Yes,4,4,5,7.4,49,No,1311,"I have been a customer with this company for over 5 years now and I have been very satisfied with the service. The fiber optic internet is fast and reliable, and the automatic credit card payment makes it easy to keep up with my bills. The monthly charges are reasonable for the quality of service I receive. Overall, I have had no reason to churn and I would recommend this company to others looking for a reliable internet provider.",No,No
5001,u18896,Male,Yes,Yes,No,50,Two year,Online,Yes,Yes,Fiber optic,77.26,Yes,Yes,Yes,No,Yes,Yes,105.05,5163.3,Credit card (automatic),Yes,Yes,Yes,4,4,4,4.4,10,2,671,"I have been a customer with this company for 50 months now and I am extremely satisfied with the service. The fiber optic internet service has been reliable and fast, and the monthly charges of $105.05 are reasonable for the quality of service I receive. I appreciate the convenience of the automatic credit card payment method, which makes it easy to pay my bill on time every month. Overall, I have had a positive experience with this company and have no plans to churn in the near future.",No,No
1739,E41043,Male,Yes,Yes,No,67,Two year,Online,Yes,Yes,Fiber optic,61.99,No,Yes,No,Yes,Yes,Yes,102.9,6989.7,Bank transfer (automatic),No,No,No,5,3,Yes,6.3,77,2,200,I have been a loyal customer for 67 months with a two-year contract for fiber optic internet service. I have never experienced any issues with my service and have always been satisfied with the reliability and speed of the connection. The automatic bank transfer payment method makes it convenient for me to pay my monthly bill of $102.9. I have no complaints and would highly recommend this service to others.,No,No
4770,V37219,Male,No,Yes,Yes,58,One year,Store,Yes,No,No,62.89,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.55,1108.8,Electronic check,Yes,No,Yes,2,5,5,Yes,50,2,947,"I have been a customer with this company for 58 months now and have not experienced any issues with churn. I have a one-year contract with monthly charges of $19.55, which I find to be very reasonable. I do not have internet service with this company, but I do appreciate the convenience of paying with an electronic check. Overall, I am satisfied with the service and would recommend it to others.",No,No
6750,x58966,Male,No,No,No,21,Month-to-month,Referral,No,No phone service,DSL,34.29,Yes,Yes,No,Yes,Yes,No,43.55,1011.5,Mailed check,Yes,No,2,2,4,Yes,7.5,22,Yes,1484,"I have been a customer with this DSL internet service provider for 21 months now and have been satisfied with the service overall. The monthly charges are reasonable at $43.55 and I appreciate the flexibility of a month-to-month contract. I have been using a mailed check as my payment method without any issues. The internet service has been reliable and I have not experienced any major interruptions or downtime. Overall, I am happy with the service and have no plans to switch providers.",Yes,No
5778,mO26559,Female,No,No,No,61,One year,Store,No,No phone service,DSL,38.16,Yes,Yes,Yes,Yes,No,No,43.7,2696.55,Credit card (automatic),No,Yes,No,Yes,5,5,Yes,127,No,472,"""I have been a customer with this company for over five years now and I have been extremely satisfied with their service. The monthly charges are very reasonable at $43.7 and their DSL internet service has been reliable. I appreciate the convenience of automatic credit card payments and have had no issues with billing. Overall, I have no complaints and would highly recommend this company to others.""",No,No
1206,K61388,Male,No,No,No,37,Two year,Store,Yes,No,DSL,35.83,Yes,Yes,Yes,Yes,No,No,65.6,2313.8,Bank transfer (automatic),No,Yes,No,5,4,4,2.7,42,No,1533,"I have been a customer with this DSL internet service provider for 37 months now and I must say I am very satisfied with the service. The monthly charges of $65.6 are reasonable for the quality of internet I receive. I appreciate the convenience of the automatic bank transfer payment method, as it ensures that I never miss a payment. Overall, I have had no issues with the service and would highly recommend it to others.",Yes,No
3353,YH79806,Male,No,No,No,58,One year,Referral,Yes,Yes,Fiber optic,53.74,No,Yes,Yes,No,Yes,Yes,103.25,6017.65,Bank transfer (automatic),Yes,No,3,2,5,3,1.6,22,2,2202,"I have been a customer with this company for 58 months and have been using their fiber optic internet service. The service itself has been reliable and fast, and I have had no major issues with it. However, I recently decided to switch providers due to finding a better deal elsewhere. The monthly charges of $103.25 were a bit high for me, and I found a cheaper option with another provider. Overall, I was satisfied with the service provided, but the cost was the main factor in my decision to churn. The bank transfer payment method was convenient and I never had any issues with it.",No,Yes
1644,u13064,Male,No,Yes,No,Yes,Month-to-month,Store,Yes,No,Fiber optic,50.66,No,Yes,Yes,No,No,No,76.2,76.2,Electronic check,No,No,Yes,2,3,Yes,3.4,66,2,1029,"I recently switched to this fiber optic internet service provider on a month-to-month contract and unfortunately, I have already decided to churn after just one month. The monthly charges of $76.2 seemed reasonable at first, but I have been experiencing frequent outages and slow speeds. Additionally, I found the process of making payments through electronic check to be cumbersome and inconvenient. Overall, I am not satisfied with the service and will be looking for a better internet provider.",Yes,Yes
5359,qj68590,Female,No,Yes,No,72,Two year,Online,Yes,Yes,Fiber optic,60.21,Yes,Yes,Yes,No,Yes,Yes,109.55,8165.1,Electronic check,Yes,Yes,Yes,Yes,5,4,10,126,No,1268,"I have been a loyal customer with this company for 6 years now and have been very satisfied with their service. The fiber optic internet service has been reliable and fast, and the monthly charges are reasonable for the quality of service I receive. I appreciate being able to pay with electronic check, as it is convenient and hassle-free. Overall, I have no complaints and would highly recommend this company to others.",No,No
3686,D27910,Male,No,Yes,No,18,Month-to-month,Store,Yes,Yes,DSL,51.45,No,Yes,No,No,No,No,56.8,1074.65,Credit card (automatic),No,No,2,2,5,2,9.4,27,Yes,1644,"I have been a customer with this internet service provider for 18 months now and I am very satisfied with the service. The monthly charges of $56.8 are reasonable for the DSL internet service I receive. I appreciate the convenience of automatic credit card payments and have had no issues with billing. Overall, I am happy with the month-to-month contract and have no plans to churn in the near future. Highly recommend this provider for reliable internet service.",Yes,No
1337,Fd14400,Male,No,No,No,20,Month-to-month,Online,Yes,No,DSL,49.71,No,Yes,No,Yes,No,No,50.0,1003.05,Mailed check,No,3,No,Yes,4,2,8.5,73,Yes,1242,"I have been a customer with this DSL internet provider for 20 months now on a month-to-month contract. I have never experienced any issues with my service and have been satisfied with the reliability of my internet connection. The $50 monthly charges are reasonable for the quality of service I receive. I appreciate the option to pay with a mailed check, as it is convenient for me. Overall, I have had a positive experience with this provider and would recommend them to others.",No,No
5632,Y62149,Female,No,No,No,68,Two year,Store,Yes,No,DSL,43.39,Yes,Yes,Yes,Yes,Yes,Yes,82.45,5646.6,Credit card (automatic),Yes,Yes,Yes,2,3,Yes,2.2,109,3,1683,"I have been a customer with this company for over 5 years now and I have been very satisfied with the DSL internet service they provide. The monthly charges of $82.45 are fair for the quality of service I receive. I appreciate the convenience of automatic credit card payments as it saves me time and ensures I never miss a payment. Overall, I have had no issues with the company and have no plans to switch providers in the near future. Highly recommend their services to others.",No,No
6057,pI33897,Male,No,Yes,Yes,60,Two year,Online,Yes,Yes,Fiber optic,46.71,Yes,Yes,Yes,Yes,Yes,Yes,110.6,6586.85,Electronic check,Yes,No,4,2,5,3,5.5,63,Yes,849,"""I have been a loyal customer with this company for 5 years now and have been very satisfied with the fiber optic internet service. The monthly charges are reasonable at $110.60 and I appreciate the convenience of paying with electronic check. I have had no issues with the service and have no plans to churn in the foreseeable future. Keep up the good work!""",No,No
771,L59841,Female,No,No,No,3,Month-to-month,Store,Yes,No,Fiber optic,56,No,Yes,No,No,Yes,No,79.4,244.65,Electronic check,Yes,Yes,2,5,5,4,6.2,10,2,674,"I recently switched to this company for their fiber optic internet service and was initially pleased with the speed and reliability. However, after just 3 months, I decided to cancel due to moving to a new location. The month-to-month contract was convenient for my situation, but I found the monthly charges of $79.4 to be on the higher side compared to other providers. The payment method of electronic check was easy to set up and use. Overall, I had a positive experience with the service but ultimately chose to churn due to personal reasons.",No,Yes
996,l63623,Female,No,No,No,47,Two year,Store,Yes,Yes,DSL,83,Yes,Yes,No,Yes,No,Yes,74.05,3496.3,Mailed check,No,No,Yes,Yes,3,2,10,53,2,699,"I have been a customer with this company for almost four years now and I have been very satisfied with the service. The DSL internet service has been reliable and the monthly charges of $74.05 are reasonable for the speeds I am getting. I appreciate the option to pay with a mailed check as it is convenient for me. Overall, I have no complaints and am happy to continue being a customer.",No,No
2210,UK45803,Female,No,No,Yes,25,One year,Online,Yes,No,DSL,31.26,No,Yes,No,Yes,No,No,54.75,1266.35,Credit card (automatic),Yes,Yes,Yes,5,3,5,10,10,Yes,1035,"I have been a customer with this company for 25 months now and I have been very satisfied with the DSL internet service they provide. The monthly charges of $54.75 are reasonable and I appreciate the convenience of the automatic credit card payment method. I have not experienced any issues with my service and have not felt the need to switch providers. Overall, I am happy with the service and would recommend it to others.",No,No
6551,e47422,Female,No,Yes,Yes,51,One year,Online,No,No phone service,DSL,51.92,No,Yes,Yes,Yes,Yes,Yes,56.15,2898.95,Electronic check,Yes,No,Yes,4,3,5,8.3,36,3,1736,"""I have been a loyal customer with this internet service provider for over four years now and I have been very satisfied with their service. The monthly charges are reasonable at $56.15 and the internet speed provided through DSL is sufficient for my needs. I appreciate the convenience of paying through electronic check. Overall, I have had a positive experience with this company and have no plans to churn in the near future.""",No,No
5764,r16904,Male,No,No,No,3,Month-to-month,Store,No,No phone service,DSL,29.53,No,Yes,No,Yes,No,No,29.75,96.85,Electronic check,Yes,No,3,Yes,4,5,7.4,64,2,1036,"I have been a customer with this DSL service provider for 3 months now on a month-to-month contract. I have been pleased with the reliable internet service I have received and have not experienced any issues with connectivity or speed. The monthly charge of $29.75 is reasonable and I appreciate the convenience of using electronic check as my payment method. Overall, I am satisfied with the service and have no plans to switch providers.",Yes,No
6149,e47818,Female,No,Yes,No,70,One year,Online,Yes,Yes,Fiber optic,61.93,No,Yes,Yes,No,Yes,Yes,101.75,7069.3,Electronic check,Yes,2,No,5,5,Yes,7.9,42,2,1145,"I have been a loyal customer for over 5 years now and I have been extremely satisfied with the fiber optic internet service provided by this company. The speed and reliability of the connection have been excellent, and I have had no issues with my monthly payments being processed through electronic check. The monthly charges are reasonable for the quality of service I receive. I have no plans to switch providers anytime soon. Thank you for providing such a great service!",No,No
2404,tW65936,Male,No,No,No,52,Two year,Online,Yes,Yes,Fiber optic,44.2,Yes,Yes,Yes,Yes,Yes,Yes,109.3,5731.4,Electronic check,Yes,No,3,4,4,3,8.8,113,2,1358,"I have been a customer with this company for over four years now and I have been extremely satisfied with the service. The fiber optic internet has been reliable and fast, and I have never experienced any issues with the connection. The monthly charges are reasonable for the quality of service provided. I appreciate the convenience of paying with electronic check. Overall, I have no complaints and would highly recommend this company to others.",No,No
4403,A97431,Male,No,Yes,Yes,71,Two year,Store,Yes,No,No,32.61,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.45,1378.45,Mailed check,No,2,4,3,3,Yes,10,121,No,1248,"I have been a customer with this company for over 6 years now and I have never experienced any issues with them. The monthly charges are very reasonable at $19.45 and I appreciate that they offer a two-year contract option. Even though I do not have internet service with them, I still find their customer service to be top-notch. I prefer to pay my bills via mailed check and they have always processed my payments in a timely manner. Overall, I am very satisfied with my experience as a long-time customer of this company.",No,No
3643,s70413,Male,No,No,Yes,15,Month-to-month,Agent,Yes,Yes,No,42.63,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,24.8,324.15,Electronic check,Yes,Yes,4,2,4,3,10,53,No,858,"I have been a customer with this company for 15 months now and have been overall satisfied with the service. The monthly charges are reasonable at $24.8 and I appreciate the flexibility of being on a month-to-month contract. The payment method of using electronic check is convenient for me. However, I do wish that internet service was available as an option. Overall, I have had a positive experience with this company and would recommend it to others.",No,No
4817,LW54270,Male,No,Yes,Yes,23,Month-to-month,Online,Yes,No,Fiber optic,50.46,Yes,Yes,No,Yes,Yes,Yes,99.85,2331.3,Electronic check,Yes,Yes,No,4,3,4,9.3,100,2,1143,"""I have been a customer with this fiber optic internet service provider for 23 months on a month-to-month contract. The monthly charges of $99.85 are reasonable for the high-speed internet I receive. However, I recently decided to cancel my service due to moving to a new area where this provider is not available. The process of cancelling was smooth and easy, and I appreciated being able to pay with electronic check. Overall, I was satisfied with the service during my time as a customer.""",Yes,Yes
4329,YJ86766,Female,No,No,No,38,Month-to-month,Store,Yes,No,Fiber optic,35.97,No,Yes,Yes,Yes,No,No,84.25,3264.5,Credit card (automatic),Yes,2,Yes,3,5,4,6.5,82,Yes,1701,"I have been a customer with this company for 38 months now, and unfortunately I have decided to churn. While the fiber optic internet service was reliable and fast, I found the monthly charges of $84.25 to be too high for my budget. I appreciated the convenience of automatic credit card payments, but ultimately I had to look for a more affordable option. I would consider returning if the company offers more competitive pricing in the future.",Yes,Yes
1323,Nx31138,Female,No,Yes,Yes,58,One year,Store,Yes,Yes,Fiber optic,36.36,No,Yes,Yes,No,Yes,Yes,105.2,6225.4,Credit card (automatic),Yes,Yes,Yes,5,3,2,6.1,106,2,1206,"I have been a customer with this company for almost five years now and I have been extremely satisfied with the service. The fiber optic internet is fast and reliable, and I have never experienced any issues with connectivity. The automatic credit card payments make it convenient for me to pay my bill on time every month. The monthly charges are reasonable for the quality of service I receive. Overall, I have no complaints and would highly recommend this company to others.",No,No
1078,v39923,Female,No,Yes,Yes,67,One year,Online,Yes,Yes,Fiber optic,57.29,Yes,Yes,Yes,Yes,No,Yes,100.25,6689,Bank transfer (automatic),Yes,No,No,2,4,2,9.6,82,Yes,858,"I have been a customer with this fiber optic internet service provider for 67 months now and I have been extremely satisfied with the service. The speeds are consistently fast and reliable, and I have not experienced any issues with connectivity. The automatic bank transfer payment method is convenient and hassle-free. Even though the monthly charges are a bit on the higher side at $100.25, I feel like it is worth it for the quality of service I am receiving. Overall, I have no complaints and would highly recommend this provider to others.",No,No
823,a24021,Male,No,No,No,Yes,Month-to-month,Store,Yes,No,DSL,38.63,Yes,Yes,No,Yes,No,No,53.95,53.95,Electronic check,Yes,No,4,5,5,4,3,64,2,1679,"I recently signed up for DSL internet service with this provider on a month-to-month contract. Unfortunately, after just one month of service, I decided to cancel due to the slow speeds and frequent connection issues. The monthly charges of $53.95 were reasonable, but the quality of the internet service did not meet my expectations. I also found the payment method of electronic check to be convenient and easy to use. Overall, I was disappointed with my experience and chose to churn and switch to a different provider.",Yes,Yes
1503,FQ78768,Male,No,Yes,Yes,35,One year,Store,Yes,No,No,40.74,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.05,746.75,Bank transfer (automatic),No,Yes,Yes,2,3,4,6.5,44,2,1325,"I have been a customer with this company for 35 months now and I have been extremely satisfied with the service. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges of $20.05 without any hassle. Even though I do not use the internet service, I have never experienced any issues with my contract or billing. Overall, I have no complaints and I would highly recommend this company to others.",No,No
5631,V78083,Male,No,Yes,Yes,46,Two year,Referral,Yes,No,DSL,54.55,Yes,Yes,Yes,Yes,Yes,Yes,81.0,3846.35,Mailed check,No,Yes,Yes,5,5,3,3.2,10,Yes,1350,"I have been a customer with this company for almost 4 years now and have been satisfied with the service overall. The DSL internet service has been reliable and the monthly charges are reasonable at $81.0. I prefer to pay by mailed check and have not encountered any issues with billing or payments. I appreciate the two year contract option as it offers stability and consistency in pricing. Overall, I have no complaints and am happy to continue with this provider.",No,No
1218,ku47183,Male,No,Yes,Yes,No,One year,Online,Yes,No,No,55.75,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.7, ,Mailed check,Yes,Yes,4,3,4,2,Yes,103,2,1132,"I recently signed up for a one-year contract with this service provider and so far, I have been satisfied with their service. Despite not having internet service through them, I find their monthly charges of $19.7 to be reasonable. I appreciate that I can pay via mailed check as it is convenient for me. Looking forward to continuing my contract with them.",No,No
6244,CV41713,Female,No,Yes,Yes,27,Two year,Store,Yes,Yes,No,37.02,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,24.5,761.95,Electronic check,No,Yes,2,2,5,Yes,2.5,97,3,1633,"I have been a customer with this company for 27 months now and have been satisfied with the service overall. The monthly charges are reasonable at $24.5 and I appreciate the convenience of using electronic check as my payment method. Although I do not have internet service with this company, I have not experienced any issues with my current plan. I plan to continue my contract with them for the remaining duration.",No,No
