name,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Play-it Health,Health Care Information Technology,138750,operating,,,,,4,2013-08-15,2013-12-01,2015-09-30
Play It Interactive,Fantasy Sports,1100000,operating,CAN,,,,1,,2014-08-22,2014-08-22
Play Megaphone,Broadcasting|Entertainment|Games|Television,4300000,operating,USA,NY,New York City,New York,1,2008-01-01,2013-10-21,2013-10-21
Play More,Mobile,41250,operating,,,,,1,2009-01-01,2014-12-01,2014-12-01
Play With Pictures / HangPic,Facebook Applications|Games|iOS|Photography,100000,closed,FRA,A8,Paris,Paris,1,2012-10-01,2012-10-01,2012-10-01
Play Works Studio,Educational Games|Mobile Games|Video Games,300000,operating,,,,,2,2013-05-07,2014-01-01,2015-05-01
play140,Games,500000,acquired,USA,MA,Boston,Cambridge,1,,2010-10-07,2010-10-07
Play2Focus,Game|Kids|Mobile,12500,operating,,,,,1,,2014-01-01,2014-01-01
Play2Shop.com,Entertainment|FreetoPlay Gaming|Games|Gift Card|Shopping,525000,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,3,2013-01-01,2013-01-01,2014-02-07
Play4test,Entertainment|Game|Games|Testing,270862,operating,ESP,29,Madrid,Madrid,1,,2014-06-12,2014-06-12
PlayAR,Apps|Augmented Reality|Sports,92138,closed,,,,,2,2014-12-24,2014-01-22,2015-07-11
PlayArt Labs,Games,100000,operating,ISR,5,Tel Aviv,Tel Aviv,1,2013-01-01,2013-10-16,2013-10-16
Playbasis,Big Data|CRM|Curated Web|Gamification|Loyalty Programs|Social Media|Virtual Currency,2943000,operating,THA,40,Bangkok,Bangkok,5,2012-01-01,2012-08-14,2015-06-25
Playblazer,Enterprise Software|Games|SaaS,-,operating,USA,CA,SF Bay Area,San Francisco,2,2013-08-01,2013-06-26,2015-03-15
Playboox,Consulting|Software,3250000,operating,USA,CA,SF Bay Area,San Francisco,2,,2008-06-19,2009-04-01
PlayBucks,Games|Incentives|Mobile|Social Media|Software,-,operating,USA,NY,New York City,New York,1,2012-05-10,2012-06-01,2012-06-01
Playbuzz,B2B|Digital Media|Entertainment,19800000,operating,ISR,5,Tel Aviv,Tel Aviv,3,2012-07-07,2012-12-10,2015-03-18
PlayCafe,Games,-,closed,USA,CA,SF Bay Area,Redwood City,1,2006-04-01,2007-12-01,2007-12-01
PlayCanvas,Finance|Game|Games,590000,operating,GBR,H9,London,London,2,2011-05-09,2013-07-02,2014-11-19
Playcast Media,Games,10000000,operating,GBR,H9,London,London,1,2007-01-01,2011-01-25,2011-01-25
Playcez,Mobile,530000,closed,IND,7,New Delhi,New Delhi,2,2010-01-01,2012-10-31,2013-03-08
Playchemy,Games,1080303,operating,USA,CA,SF Bay Area,Burlingame,1,2010-01-01,2011-10-26,2011-10-26
PlayCoin Entertainment,Financial Services,50000,operating,USA,GA,Atlanta,Douglasville,1,2014-01-01,2014-12-08,2014-12-08
PlayCrafter,Games,-,closed,,,,,1,,2008-10-21,2008-10-21
PLAYD8,Babies|Events|Kids|Mobile|Networking|Online Scheduling|Parenting|Social Network Media,60000,closed,USA,CA,Los Angeles,Los Angeles,1,2011-02-22,2011-02-22,2011-02-22
PlayData,Software,-,operating,USA,GA,Atlanta,Atlanta,1,2012-05-23,2014-03-10,2014-03-10
Playdate App,Games|iPhone|Mobile|Mobile Games|Social Media|Software,100000,operating,USA,NY,New York City,New York,2,2012-01-01,2012-01-01,2012-01-01
Playdead,Games,-,operating,DNK,17,Copenhagen,Copenhagen,1,2008-02-01,2009-02-02,2009-02-02
Playdemic,Games,4378812,acquired,GBR,C5,,,2,2010-01-01,2012-08-20,2013-10-11
PlayDo,Games,4290000,operating,SWE,26,Stockholm,Stockholm,1,1999-01-01,2008-12-17,2008-12-17
Playdom,Apps|Entertainment|Games,76000000,acquired,USA,CA,SF Bay Area,Palo Alto,2,2008-02-01,2009-11-11,2010-06-21
PlayEarth,Games,664369,operating,KOR,11,Seoul,Seoul,2,2012-05-02,2012-10-21,2014-01-03
Played,Games|Mobile|PC Gaming,-,operating,,,,,1,,2011-08-04,2011-08-04
PlayEnable,E-Commerce|Fitness|Health and Wellness|Marketplaces|Sports,39650,operating,GBR,H9,London,London,1,2012-03-07,2012-11-15,2012-11-15
PlayerDuel,Mobile|Software,21189,closed,USA,CA,SF Bay Area,Palo Alto,2,2011-01-01,2011-09-05,2012-06-13
Playerize,Games,1000000,acquired,USA,CA,SF Bay Area,San Francisco,1,,2012-01-04,2012-01-04
PlayerMate,CRM|Gambling|Hospitality|Marketing Automation,-,operating,USA,NV,Las Vegas,Las Vegas,1,2013-05-23,2015-03-09,2015-03-09
PlayerPro,Social Network Media|Sports,110000,operating,GBR,,,,1,2012-08-01,2013-01-15,2013-01-15
Players' Lounge,Entertainment|Fantasy Sports|Sports,-,operating,USA,NY,New York City,Brooklyn,1,2014-10-01,2015-03-01,2015-03-01
Players Revolution Sports,Mobile|Recreation|Sponsorship|Sports,10000,operating,USA,,,,1,2011-01-01,2013-12-01,2013-12-01
PLAYERTEK Kodaplay Limited,Sporting Goods,-,operating,IRL,19,IRL - Other,Dundalk,1,,2015-04-28,2015-04-28
"PlayFab, Inc.",Developer Tools|Games|PaaS|Service Providers,9900000,operating,USA,WA,Seattle,Seattle,2,2014-01-01,2014-08-19,2015-02-27
PlayFilm,Advertising|Entertainment|Online Video Advertising|Software,270820,operating,ESP,60,Valencia,Valencia,1,2014-01-01,2014-06-13,2014-06-13
PlayFirst,Games|iPhone|Mobile Games,37720000,acquired,USA,CA,SF Bay Area,San Francisco,5,2004-09-30,2004-01-01,2013-04-25
Playfish,Apps|Facebook Applications|Games|Social Games|Social Network Media|Web Tools,21000000,acquired,GBR,H9,London,London,3,2007-10-01,2008-03-11,2008-10-28
PlayFitness,Kinect|Social Media,49500,operating,USA,NY,New York City,Staten Island,1,2012-03-16,2012-07-01,2012-07-01
Playful,Software,25000000,operating,USA,TX,Dallas,Mckinney,1,2012-01-01,2015-10-25,2015-10-25
Playful Data,Identity Management|Kids|Online Identity,-,operating,USA,NY,New York City,New York,1,2014-05-01,2014-05-01,2014-05-01
PlayGiga,Digital Entertainment|Games|Video Games,5533513,operating,ESP,29,Madrid,Madrid,2,2013-01-01,2014-05-30,2015-07-14
Playground Energy,Clean Technology|Entertainment,289800.834522512,operating,BGR,42,Sofia,Sofia,4,2012-09-01,2012-07-31,2015-09-01
Playground Global,,48000000,operating,USA,CA,SF Bay Area,Los Altos,1,2014-11-01,2015-04-06,2015-04-06
PlayHaven,Advertising|Mobile,30800000,acquired,USA,CA,SF Bay Area,San Francisco,6,2014-08-19,2008-04-01,2014-10-20
Playhem,Digital Media|Games|Mobile|Social Media|Social Network Media|Video Games,820000,operating,USA,CA,SF Bay Area,San Francisco,2,2009-07-01,2010-01-01,2010-07-01
PlayhouseSquare,Education,2500000,operating,USA,OH,Cleveland,Cleveland,1,1920-01-01,2014-02-27,2014-02-27
PlayJam,Games|Social Games|Television,5000000,operating,GBR,H9,London,London,1,1999-01-01,2011-10-25,2011-10-25
PlayKids,E-Books|Entertainment|Kids,15000000,operating,,,,,1,2013-01-01,2015-06-26,2015-06-26
PlayLab,Games,22818,operating,,,,,1,,2013-07-01,2013-07-01
Playlogic,Games,19300000,operating,NLD,7,Amsterdam,Amsterdam,2,,2007-11-01,2008-03-21
Playlore,Consulting,3000000,operating,USA,CT,Hartford,Westport,1,,2011-06-23,2011-06-23
Playmaroo,Games|Online Gaming|Video Games,448436,operating,,,,,1,,2013-08-27,2013-08-27
PlaymeAR,Apps|Augmented Reality,150000,operating,MYS,9,MYS - Other,George Town,1,2014-01-01,2015-07-25,2015-07-25
PlayMob,Advertising|Analytics|Apps|Brand Marketing|Cause Marketing|Charity|Games|Mobile|Networking|Social Media,2183409,operating,GBR,H9,London,London,5,2011-07-01,2011-04-01,2014-04-01
PlayMobs,Apps|Mobile|Software,-,operating,KOR,11,Seoul,Seoul,1,2011-07-15,2013-09-01,2013-09-01
Playmoss,Music,-,operating,ESP,56,Barcelona,Barcelona,2,,2014-06-01,2015-02-01
PlayMotion,Computer Vision|Games|Kinect,500000,operating,USA,GA,Atlanta,Atlanta,1,2003-07-04,2006-07-01,2006-07-01
Playmysong,Music|Social Media,350000,operating,FIN,13,Helsinki,Helsinki,1,2011-06-01,2012-01-18,2012-01-18
Playnatic Entertainment,Games,30000000,operating,RUS,48,Moscow,Moscow,2,2009-01-01,2009-01-01,2010-03-02
playnik,Game|Games|Social Games,-,operating,DEU,4,Hamburg,Hamburg,1,2008-03-01,2009-09-01,2009-09-01
Playnomics,Apps|Big Data|Mobile|Predictive Analytics,6000000,acquired,USA,CA,SF Bay Area,San Francisco,3,2009-01-01,2009-12-16,2013-02-20
PlayOn! Sports,Games,10000000,acquired,USA,GA,Atlanta,Atlanta,2,2008-01-01,2010-08-02,2011-09-02
PlayPass Ltd,Analytics|Big Data|Cloud Computing|Event Management|Events|NFC|Payments|RFID|SaaS|Social Media,2459659,operating,BEL,1,Antwerp,Antwerp,4,2012-12-06,2012-12-06,2015-02-28
PlayPhilo.Com,Curated Web,-,acquired,USA,NY,New York City,New York,1,,2010-07-29,2010-07-29
PlayPhone,Games,95097200,operating,USA,CA,SF Bay Area,San Francisco,3,2003-04-01,2006-08-28,2012-01-01
PlayRaven,Development Platforms|Game|Mobile,6399999,operating,FIN,13,Helsinki,Helsinki,2,2013-01-01,2014-01-21,2014-12-10
Playrcart,Curated Web,268611,operating,GBR,H9,London,London,1,2011-01-01,2013-11-28,2013-11-28
Playroll,Concerts|E-Commerce|Events|Ticketing,150000,operating,HKG,,Hong Kong,Hong Kong,1,2013-10-15,2013-09-01,2013-09-01
Playroom,,-,closed,CHN,23,Shanghai,Shanghai,1,2012-12-24,2014-04-29,2014-04-29
Plays.IO,Big Data|Media|Social Media,60000,operating,HUN,5,Budapest,Budapest,1,2014-01-01,2014-05-28,2014-05-28
PlaySay,EdTech|Education|Language Learning,820000,acquired,USA,CA,SF Bay Area,San Francisco,3,2008-04-04,2008-09-01,2011-01-24
PlayScape,Games,15400000,operating,ISR,5,Tel Aviv,Tel Aviv,5,2008-01-01,2008-03-26,2012-12-11
PlaySight,Sports,5000000,operating,ISR,2,Tel Aviv,Kfar Saba,2,2012-01-01,2012-01-12,2014-05-19
PlaySimple,Entertainment|Games|Online Gaming,-,operating,IND,19,Bangalore,Bangalore,1,,2014-11-23,2014-11-23
Playsino,Games,1500000,operating,USA,CA,Los Angeles,Santa Monica,1,,2012-04-20,2012-04-20
Playrific,Games,4700000,operating,USA,MA,Boston,Billerica,3,2010-03-01,2011-12-31,2015-02-15
Playspace,Facebook Applications|Games|Social Games,6459235,operating,ESP,7,Palma De Mallorca,Palma De Mallorca,2,2011-06-01,2012-09-05,2015-01-15
PlaySpan,Game|Games,46300000,acquired,USA,CA,SF Bay Area,Santa Clara,4,2006-05-01,2007-09-01,2010-08-19
PLAYSTUDIOS,Games,28700017,operating,USA,CA,SF Bay Area,Burlingame,2,2011-01-01,2012-08-16,2014-10-23
PlaySwell,Building Products|Consumer Goods|Manufacturing,1000000,operating,USA,CA,San Diego,Del Mar,1,2013-10-01,2015-01-12,2015-01-12
Playteau,Games,620000,operating,USA,WA,Seattle,Bellevue,1,2010-01-01,2010-03-18,2010-03-18
PlaytestCloud,Games|iOS|Usability,122980,operating,DEU,11,Berlin,Potsdam,1,2012-10-01,2012-08-01,2012-08-01
Playthe.net,Big Data Analytics|Outdoor Advertising|Small and Medium Businesses,6701279,operating,ESP,54,Madrid,Cuenca,2,2011-01-01,2014-05-12,2014-05-16
Playtika,Entertainment|Games|Social Games,1500000,acquired,ISR,5,Tel Aviv,Tel Aviv,1,,2010-11-01,2010-11-01
Playto,Entertainment|Games|Video Games,91250,operating,HKG,,Wan Chai,Wan Chai,2,,2014-01-01,2014-07-01
Playtox,Games|MMO Games|Mobile|Web Development,3000000,operating,RUS,53,Novosibirsk,Novosibirsk,1,2010-06-01,2013-06-04,2013-06-04
Playviews,Games|Mobile|Mobile Games,1300000,operating,USA,CA,SF Bay Area,San Francisco,1,,2012-02-06,2012-02-06
PlayVox,Computers,1500000,operating,USA,CA,SF Bay Area,San Francisco,1,2012-01-01,2015-03-30,2015-03-30
PlayyOn,Advertising|Event Management|Fitness|Health and Wellness|Marketplaces|Recreation|Sports,255000,operating,USA,CA,SF Bay Area,Menlo Park,2,2013-01-15,2013-01-15,2014-01-30
Plaza Bank,Banking|E-Commerce|Non Profit,4200000,ipo,USA,WA,Seattle,Seattle,1,,2014-07-03,2014-07-03
Plazapoints (Cuponium),Comparison Shopping|Coupons|Discounts,1608361,operating,PER,15,Lima,Lima,4,,2012-01-01,2014-10-01
PlazaVIP.com S.A.P.I. de C.V.,E-Commerce|Internet,2000000,operating,MEX,19,Monterrey,Monterrey,1,2007-12-14,2010-12-20,2010-12-20
Plazes,Curated Web|Location Based Services|Maps|Social Media,4695100,acquired,,,,,2,2006-01-01,2006-01-01,2007-02-01
PLC Diagnostics,Biotechnology|Health Diagnostics,183691,operating,USA,CA,Los Angeles,Chatsworth,2,2006-01-01,2009-12-07,2011-04-11
PLD Space,Aerospace|Defense|Services|Technology,1320474.84275345,closed,ESP,60,Elche,Elche,1,2011-09-13,2013-01-01,2013-01-01
PLDT,Mobile,-,operating,PHL,D5,PHL - Other,Legaspi,1,,2002-11-01,2002-11-01
Please,Business Analytics|Retail|Retail Technology|SaaS,350000,operating,ESP,56,Sant Cugat Del VallÃ¨s,Sant Cugat Del Vallès,1,,2014-09-01,2014-09-01
Plectix Biosystems,Biotechnology,6916666,operating,USA,MA,Boston,Somerville,1,,2008-02-15,2008-02-15
Pledge51,Games|Mobile|Social Games,30000,operating,NGA,5,Lagos,Yaba,1,2012-02-03,2013-03-31,2013-03-31
Pledgeling,Internet|Mobile|Nonprofits,4000000,operating,USA,CA,Los Angeles,Santa Monica,1,2014-05-01,2015-04-17,2015-04-17
PledgeMe,Crowdfunding|Internet|Licensing,100000,operating,NZL,G2,Wellington,Wellington,1,,2014-11-20,2014-11-20
"Pledger, inc.",Celebrity|Crowdfunding|Data Integration|Digital Media|Mobile Payments|Mobile Software Tools|Social Fundraising|Sports,300000,operating,,,,,2,2014-02-01,2014-05-01,2015-09-01
PledgeSports,Internet|Social Fundraising|Sponsorship|Sports,86774,operating,GBR,H9,London,London,1,2014-01-01,2015-04-08,2015-04-08
Pleek,Apps|Photo Sharing,600000,operating,FRA,A8,Paris,Paris,1,2014-01-01,2015-03-26,2015-03-26
PLEG,Software,2500000,closed,USA,MA,Boston,Boston,1,,2003-10-21,2003-10-21
Plegma Labs,Internet of Things|Sensors|Software,150000,operating,GRC,35,Athens,Athens,1,2013-08-01,2014-07-01,2014-07-01
Plehn Analytics,Analytics,150000,closed,,,,,1,,2012-01-19,2012-01-19
Plei,Application Platforms|Mobile|Music,48748,operating,,,,,2,,2013-07-01,2014-01-01
PLEN2,Robotics,32594,operating,JPN,32,Osaka,Osaka-shi,1,2006-06-01,2015-03-05,2015-03-05
Plenry,Communities,-,operating,,,,,1,2014-09-10,2015-03-10,2015-03-10
Plentific,Curated Web|Home Renovation|Local Businesses|Marketplaces|Personal Finance|Real Estate|Service Providers|Startups|Technology,1600000,operating,,,,,1,2013-11-01,2014-03-01,2014-03-01
PLENTY,Advertising|Digital Media|Graphic Design|Marketplaces,250000,operating,USA,GA,Atlanta,Atlanta,2,,2014-12-30,2015-07-22
Plerts,Public Transportation,-,operating,USA,TX,Austin,Austin,1,,2010-01-01,2010-01-01
Plethora,Apps|Design|iPhone|Parenting|Publishing|Textbooks|Video Streaming,12265,operating,NZL,E7,Auckland,Auckland,1,2010-01-19,2013-06-25,2013-06-25
Plethora Technology,Software,1000000,closed,USA,WV,WV - Other,Kearneysville,1,2000-01-01,2005-06-09,2005-06-09
Plex Systems,Cloud Computing|Enterprise Resource Planning|Manufacturing|Software,86500000,operating,USA,MI,Detroit,Troy,4,1995-01-01,2009-11-09,2014-06-10
Plexisoft,Career Planning|E-Commerce,80000,operating,USA,FL,Jacksonville,Kenansville,1,2011-01-01,2011-08-08,2011-08-08
Plexistor,Software|Storage|Technology,-,closed,,,,,1,2013-12-01,2014-09-17,2014-09-17
PlexPress,Biotechnology,2500000,operating,FIN,13,Helsinki,Helsinki,1,2007-01-01,2009-05-18,2009-05-18
Plextronics,Clean Technology,54847500,acquired,USA,PA,Pittsburgh,Pittsburgh,10,2002-01-01,2004-05-25,2013-10-04
Plexx,Education|Recruiting|Software|Training,40000,operating,USA,MA,Boston,Cambridge,1,2013-03-10,2013-09-24,2013-09-24
Plexxikon,Biotechnology,46000000,acquired,USA,CA,SF Bay Area,Berkeley,1,2000-01-01,2004-05-26,2004-05-26
Pley,Collaborative Consumption|Curated Web|Marketplaces|Toys,16750000,operating,USA,CA,SF Bay Area,Santa Clara,2,2013-05-01,2014-03-20,2015-02-02
Pliant Technology,Enterprise Software,50300006,acquired,USA,CA,SF Bay Area,Milpitas,3,2006-04-01,2008-02-20,2010-01-05
Plibber,Advertising|Social Media|Social Network Media,500000,closed,,,,,1,,2013-09-30,2013-09-30
Plinga,Apps|Games|Social Media,-,operating,,,,,1,2009-06-01,2009-10-19,2009-10-19
Plink,Curated Web,3633000,operating,USA,CO,Denver,Denver,2,,2012-04-12,2012-08-01
"Plink Entertainment, Inc.",Entertainment|Events|Social Commerce,95000,closed,,,,,1,2015-04-16,2015-08-01,2015-08-01
plista,Ad Targeting|Advertising|Content|Mobile|Monetization|Personalization|Reviews and Recommendations,3800000,acquired,DEU,16,Berlin,Berlin,3,2008-07-01,2008-11-01,2010-11-01
Plisten,Curated Web,-,operating,,,,,1,2012-01-01,2012-11-09,2012-11-09
Plivo,Audio|Cloud Computing|Developer APIs|Internet|Mobile|Open Source|SMS|Telephony|Venture Capital,1750000,operating,USA,CA,SF Bay Area,San Francisco,1,2011-04-28,2012-12-04,2012-12-04
Plix,Advertising|Digital Media|Games|Social Media|Television|Video Streaming,400000,closed,,,,,1,2011-01-01,2012-01-01,2012-01-01
Plixi,Curated Web|Photography,2600000,acquired,USA,CA,San Diego,San Diego,1,2009-03-18,2010-03-30,2010-03-30
pliXos,B2B|Marketplaces|Outsourcing|Software,-,operating,DEU,2,Munich,Munich,1,2009-04-01,2009-07-03,2009-07-03
Plizy,Ediscovery|Entertainment|iPad|Photography|Video|Video Streaming,5200000,closed,USA,CA,SF Bay Area,San Francisco,2,2010-09-01,2011-05-19,2012-12-13
PLLEA,Development Platforms|Gamification|Mobile Games,446572,operating,,,,,1,,2012-09-24,2012-09-24
Pllop.it,Design,40000,operating,SVN,61,Ljubljana,Ljubljana,1,2012-01-01,2012-07-17,2012-07-17
Plobot,Digital Entertainment|Education|Technology,-,operating,,,,,1,2015-09-01,2015-09-01,2015-09-01
Ploog,Consumer Electronics|Digital Media|User Experience Design,203000,operating,BRA,21,Rio de Janeiro,Rio De Janeiro,2,2013-07-01,2014-01-10,2014-09-12
Ploonge,Events|Interest Graph|Social Media|Social Network Media,371810,operating,ITA,9,Milan,Milan,1,2012-04-26,2012-08-06,2012-08-06
Plot Projects,Advertising|Location Based Services|Mobile,1000000,operating,NLD,7,Amsterdam,Amsterdam,2,2011-03-11,2012-05-25,2015-03-06
Simplus.IO,Developer Tools|Information Technology|Mobile,41250,operating,HKG,,Hong Kong,Hong Kong,1,2014-02-18,2015-08-01,2015-08-01
Plotbox,Technology,100000,operating,USA,CA,SF Bay Area,Mountain View,1,2011-01-01,2014-11-01,2014-11-01
Plotly,Analytics|Big Data|Collaboration|Data Integration|Data Visualization|Education|Software,6928571,operating,CAN,QC,Montreal,Montréal,2,2013-08-09,2013-08-26,2015-06-03
PlotWatt,Analytics,4714998,operating,USA,NC,Raleigh,Durham,3,2008-01-01,2010-12-09,2012-07-02
Ploutos Oil,Oil,-,operating,USA,KY,KY - Other,Hartford,1,2014-03-01,2014-11-19,2014-11-19
Plovgh,Agriculture|Distribution|Social Commerce|Social Media,300000,operating,USA,WI,WI - Other,Viroqua,1,2010-12-14,2013-06-01,2013-06-01
PLOW,Digital Media|Social Media|Social News,-,operating,USA,NY,New York City,Brooklyn,1,,2013-12-15,2013-12-15
Pluck,Curated Web,17000000,acquired,USA,TX,Austin,Austin,3,2003-01-01,2004-01-01,2006-11-14
Pluck It,Android|Apps|iOS|Mobile,60000,operating,,,,,1,2014-09-15,2014-09-14,2014-09-14
Plug Apps,Apps|Databases|Internet|Personalization,20000,closed,,,,,1,,2014-05-01,2014-05-01
Plug.dj,Curated Web|Music|Social Media|Video,1250000,closed,USA,CA,Los Angeles,Los Angeles,1,2012-02-01,2013-12-06,2013-12-06
Plugaround,Curated Web|Private Social Networking|Social Media|Travel,93359,operating,FRA,A8,Paris,Paris,1,2010-03-27,2011-10-05,2011-10-05
Plugged,Consumer Electronics,-,operating,,,,,1,2011-01-01,2014-09-01,2014-09-01
PlugRE.com,,250000,closed,USA,NV,Las Vegas,Las Vegas,1,2015-01-01,2015-01-01,2015-01-01
Plukka,E-Commerce|Fashion|Jewelry|Online Shopping,1000000,ipo,USA,NY,New York City,New York,1,2011-12-01,2014-02-01,2014-02-01
Plum - The light switch reimagined,Hardware + Software|Home Automation|Internet of Things|Lighting,6957000,operating,USA,TX,Austin,Austin,6,2012-01-01,2012-08-01,2015-08-04
Plum Baby,,-,acquired,,,,,1,,2007-12-20,2007-12-20
Plum District,Curated Web,30600000,operating,USA,CA,SF Bay Area,San Francisco,3,2009-01-01,2010-07-22,2011-12-08
Plum.io,Business Services|Enterprise Software|Human Resources|Recruiting|Staffing Firms,181509,operating,,,,,2,2012-01-01,2013-02-01,2013-07-07
Call 1-855-276 2781 for QuickBooks Support Phone Number. QuickBooks Toll Free number,Consulting,89153325,operating,USA,MA,Boston,Billerica,8,2001-01-01,2007-08-17,2012-05-08
PLUMgrid,Networking,28963170,operating,USA,CA,SF Bay Area,Santa Clara,3,2011-01-01,2011-09-22,2014-01-31
PlumPrint,K-12 Education|Kids|Parenting,1000000,operating,USA,NC,Asheville,Asheville,1,2012-01-01,2015-01-22,2015-01-22
Plumtree Software,Software,23000000,acquired,USA,CA,SF Bay Area,San Francisco,1,1996-01-01,2000-06-12,2000-06-12
PlumTV,Media|Television|Web Hosting,29600000,closed,USA,NY,New York City,New York,3,2002-01-01,2006-12-22,2012-10-13
PlumWillow,Curated Web|E-Commerce|Social Buying|Social Network Media|Teenagers,705000,closed,,,,,2,2010-01-01,2010-04-30,2011-12-08
Plumwise,Communities,228000,operating,USA,IL,Chicago,Chicago,1,2013-01-01,2014-11-18,2014-11-18
Plumzi,Digital Entertainment|Entertainment|Entertainment Industry,-,operating,USA,CA,SF Bay Area,Redwood City,2,,2013-06-01,2014-06-23
Plunify,Software,-,operating,SGP,,Singapore,Singapore,2,,2012-10-05,2014-11-19
PLUQ,Curated Web,450000,closed,,,,,1,2007-07-01,2007-07-01,2007-07-01
Plura Processing,Cloud Computing|Monetization|Web Hosting,750000,closed,USA,TX,Houston,Houston,1,2007-09-01,2008-05-01,2008-05-01
Plurality,Hardware + Software,12000000,operating,ISR,2,Netanya,Netanya,1,2004-01-01,2009-12-17,2009-12-17
Pluralsight,EdTech|Education,162500000,operating,USA,UT,UT - Other,Cedar Valley,2,2004-01-01,2013-01-03,2014-08-27
Plurchase,Curated Web,-,closed,USA,CA,SF Bay Area,San Francisco,1,2009-10-09,2009-08-02,2009-08-02
Pluribus Networks,Big Data|Cloud Computing|Data Center Infrastructure|Networking|Web Hosting,97000000,operating,USA,CA,SF Bay Area,Palo Alto,5,2010-04-01,2010-05-01,2015-01-21
Plurilock Security Solutions,Biometrics|Identity Management|Network Security|Security,253000,operating,CAN,BC,Vancouver,Victoria,1,2008-01-01,2013-11-13,2013-11-13
Pluriomics,Biotechnology,5059192,operating,NLD,11,The Hague,Leiden,1,2010-01-01,2014-10-24,2014-10-24
Pluris,Assisitive Technology|Information Technology|Services,53000000,operating,,,,,1,,2002-02-21,2002-02-21
pluriSelect,Biotechnology,780000,operating,DEU,13,Leipzig,Leipzig,1,,2009-03-16,2009-03-16
Pluristem Therapeutics,Biotechnology|Pharmaceuticals,21370003,ipo,ISR,4,Tel Aviv,Haifa,4,2003-01-01,2010-05-13,2015-06-28
PluroGen Therapeutics,Health Care,3378194,operating,USA,VA,"Washington, D.C.",Charlottesville,4,1970-01-01,2007-04-13,2014-04-08
PlusBlue Solutions,Wireless,325000,operating,USA,OH,Cincinnati,Cincinnati,1,2012-01-01,2014-06-23,2014-06-23
PlusFourSix,Advertising,3770000,operating,SWE,,,,1,2003-01-01,2009-08-31,2009-08-31
Plusgrade,Aerospace|Leisure|Travel,-,operating,USA,NY,New York City,New York,1,2009-01-01,2015-08-15,2015-08-15
Plusmo,Mobile,4410000,acquired,USA,CA,SF Bay Area,Santa Clara,1,2006-06-01,2008-05-01,2008-05-01
Pluss Polymers,Biotechnology,2400000,operating,IND,10,Haryana,Haryana,1,1993-01-01,2013-07-08,2013-07-08
Plustxt,Messaging,-,acquired,IND,19,Bangalore,Bangalore,1,,2012-12-16,2012-12-16
Plutio,CRM|Freelancers|Project Management|SaaS|Small and Medium Businesses,-,operating,,,,,1,2015-09-01,2015-11-14,2015-11-14
Pluto Mail,Email|Messaging|Privacy|Security,-,operating,USA,DE,"Wilmington, Delaware",Wilmington,1,2014-01-01,2014-08-20,2014-08-20
Pluto Media,Mobile,2150000,operating,USA,CA,SF Bay Area,Menlo Park,3,2011-01-01,2011-12-09,2013-03-31
Pluto TV,Entertainment|Internet TV|Video,13500000,operating,USA,CA,Los Angeles,Los Angeles,2,2013-01-01,2014-10-13,2014-11-20
Plutonium Paint,Art|DIY,150000,operating,USA,MI,Detroit,Southfield,1,2010-11-10,2013-10-04,2013-10-04
Plutus,,-,operating,,,,,1,,2014-07-21,2014-07-21
PLUX,Sensors|Software|Wireless,1034862,operating,PRT,14,PRT - Other,Arruda Dos Vinhos,2,2007-01-01,2011-06-03,2013-10-01
PLx Pharma,Biotechnology,25274243,operating,USA,TX,Houston,Houston,5,,2009-01-06,2013-07-08
Plyce,Curated Web|Gps|Mobile|Social Network Media,3152015,operating,FRA,A8,Paris,Paris,3,2010-03-01,2010-04-07,2014-09-29
Plyfe,Curated Web,1800000,operating,USA,NY,New York City,New York,4,2011-11-11,2012-03-02,2015-06-01
PLYmedia,Advertising|Advertising Networks|Advertising Platforms|Mobile Advertising|Performance Marketing|SaaS,5700000,operating,ISR,5,Tel Aviv,Tel Aviv,3,2006-01-01,2006-12-01,2015-09-25
Plymouth University,,1879419,operating,,,,,1,1992-01-01,2014-12-10,2014-12-10
Plympton,Entertainment|Mobile|Publishing,80000,operating,USA,CA,SF Bay Area,San Francisco,1,2011-01-01,2012-11-30,2012-11-30
Plynked,E-Commerce|Mobile|Mobile Devices|Public Relations|Publishing|Web Design,52122,operating,ITA,20,Castelfranco Veneto,Castelfranco Veneto,1,2013-03-01,2013-03-05,2013-03-05
Plytix,Analytics|Big Data|Information Technology,578730,operating,GBR,H9,London,London,2,2014-01-01,2015-01-01,2015-09-10
PM Pediatrics,Hospitality,14000000,operating,USA,NY,Long Island,Syosset,1,,2014-02-11,2014-02-11
PMD Solutions,Bioinformatics|Biotechnology|Health and Wellness|Healthcare Services|Medical,100000,operating,IRL,4,Cork,Cork,1,2011-01-01,2013-09-01,2013-09-01
pMDsoft,Health Care,-,closed,USA,CA,SF Bay Area,San Francisco,1,1999-01-01,1999-11-01,1999-11-01
pMediaNetwork,Analytics|Big Data|Performance Marketing|SaaS|Technology,-,operating,AUT,9,Vienna,Vienna,1,2012-06-01,2012-06-01,2012-06-01
